ACCESSION,NAME,TAXONOMY,ORIGIN,REPOSITORY,IMAGE,AVAILABILITY,RECEIVED,SOURCE TYPE,SOURCE DATE,COLLECTION SITE,COORDINATES,ELEVATION,HABITAT,IMPROVEMENT STATUS,NARRATIVE,NA,Var.18,Genus,Rank,Infraspecific,Species,Taxon
DVIT 1399,DVIT 1399,Vitis acerifolia Raf.,,DAV,,Add to cart,1900,,,,,,,WILD,,1013525,DVIT 1399,Vitis,,,Vitis acerifolia,Vitis acerifolia  
DVIT 1400,DVIT 1400,Vitis acerifolia Raf.,"California, United States",DAV,,Add to cart,1983,DONATED,1/1/1981,,,,,WILD,Type = species. Flower = female.,1013531,DVIT 1400,Vitis,,,Vitis acerifolia,Vitis acerifolia  
DVIT 1401,DVIT 1401,Vitis acerifolia Raf.,"California, United States",DAV,,Add to cart,1983,DONATED,1/1/1981,,,,,WILD,Type = species. Flower = female.,1013537,DVIT 1401,Vitis,,,Vitis acerifolia,Vitis acerifolia  
DVIT 1402,DVIT 1402,Vitis acerifolia Raf.,"California, United States",DAV,,Add to cart,1983,DONATED,1/1/1981,,,,,WILD,Type = species. Flower = male.,1013543,DVIT 1402,Vitis,,,Vitis acerifolia,Vitis acerifolia  
DVIT 1403,DVIT 1403,Vitis acerifolia Raf.,"California, United States",DAV,,Add to cart,1983,DONATED,1/1/1981,,,,,WILD,"Type = species. Flower = male. Per Hedrick (see citation): ""...vigorous form of hte riparia type with pubescent young growth, differing from the typical Riparia in having more, less lobed leaves and more incised teeth. Its leaves are frequently pubescent beneath. Another form with dentate margin of leaf has been known under the name of Nuevo Mexicana or Novo Mexicana. The references to these two forms are inextricably confused. Engelmann refers to this grape which he says he found growing in the botanic garden of Berlin under the name of Vitis solonis. After careful investigation he decided that htis name was a corruption of Vitis longii, or Long's grape, which had been grought from the headwaters of the Arkansas river by Major Long's expedition in to that then unknown country in the early part of the last century. Many botanists consider this a hybrid of two or more other species, Riparia, Rupestris, Candicans and Cordifolia being offered as probable parents. Its habitat is northern Texas 'westard into New Mexico, eastward into Oklahoma and northward into Kansas and southeastern Colorado.' Vitis longii was first described by Prince in 1830. The fruit is small and sour and it appears to be of no horticultural promise.""",1013548,DVIT 1403,Vitis,,,Vitis acerifolia,Vitis acerifolia  
DVIT 1409,DVIT 1409,Vitis acerifolia Raf.,"California, United States",DAV,,Add to cart,1983,DONATED,1/1/1981,,,,,WILD,Type = species. Flower = female.,1013586,DVIT 1409,Vitis,,,Vitis acerifolia,Vitis acerifolia  
DVIT 3025,9-3-7/5237-1,Vitis acerifolia Raf.,"Oklahoma, United States",DAV,,Add to cart,2001,COLLECTED,,,,,,BREEDING,,1640517,DVIT 3025,Vitis,,,Vitis acerifolia,Vitis acerifolia  
GVIT 1583,V28-4-45,Vitis acerifolia Raf.,"New York, United States",GEN,,Add to cart,1996,DONATED,12/19/1996,,,,,WILD,Dr. Herb Barrett thought this would be a good accession to save because of its large cluster size.,1557053,GVIT 1583,Vitis,,,Vitis acerifolia,Vitis acerifolia  
NA 2189,NA 2189,Acer griseum (Franch.) Pax,,NA,,Add to cart,1947,,,,,,,,,1952758,NA 2189,Acer,,,Acer griseum,Acer griseum  
NA 26693,NA 26693,Acer campestre L.,Ukraine,NA,,Add to cart,1965,COLLECTED,1963,,,600,Moist riverside forest.,,,1952389,NA 26693,Acer,,,Acer campestre,Acer campestre  
NA 31022,NA 31022,Acer rubrum L.,,NA,,Add to cart,1968,,,,,,,,,1952951,NA 31022,Acer,,,Acer rubrum,Acer rubrum  
NA 44904,NA 44904,Acer truncatum Bunge,Japan,,,Historic,1978,COLLECTED,10/16/1978,"Above Suzu City, Noto Peninsula, Ishikawa Prefecture, Japan.",,300,,WILD,"In Fagus crenata natural forest.  Small tree, with especially small samaras.  Seed from one tree.",1105940,NA 44904,Acer,,,Acer truncatum,Acer truncatum  
NA 45011,NA 45011,Acer truncatum Bunge,Japan,,,Historic,1978,COLLECTED,10/22/1978,"Road to Montodani, Mt. Daisen, Tottori Prefecture, Japan.",,1060,,WILD,"Seeds from single tree. Small tree to 15', lvs. orbicular, shallowly 5-7 lobed, samaras glabrous, nearly erect.",1105946,NA 45011,Acer,,,Acer truncatum,Acer truncatum  
NA 45208,NA 45208,Acer palmatum Thunb.,Japan,,,Historic,1978,COLLECTED,11/6/1978,"Mine-machi, Tsushima Island, Nagasaki Prefecture, Japan.",,33,,WILD,"Seeds from one tree.  Maple with palmate 5-lobed lvs., samaras small bright red.",1105963,NA 45208,Acer,,,Acer palmatum,Acer palmatum  
NA 48976,SABE 517,Acer davidii Franch.,China,,,Historic,1980,COLLECTED,9/1/1980,"China, Western Hubei Province, Shennongjia Forest District. E. side of Mingjia River in vicinity of Hongriwan construction camp.  Rocky streamside.",,1300,,WILD,"Tree 7-8 m tall, DBH ca 15 cm.  Fruits yellowish.",1106215,NA 48976,Acer,,,Acer davidii,Acer davidii  
NA 48979,SABE 1125,Acer davidii Franch.,China,,,Historic,1980,COLLECTED,9/7/1980,"China, Western Hubei Province, Shennongjia Forest District. SE side of watershed divide of Changjiiang (Yangtse) and Hangiang Rivers; near km 73 from Xingshan Xian; vicinity of Muyuping Forest brigade.",,1450,,WILD,Sprout shoots.,1106218,NA 48979,Acer,,,Acer davidii,Acer davidii  
NA 48987,SABE 1740,Acer henryi Pax,"Hubei Sheng, China",NA,,Add to cart,1980,COLLECTED,9/24/1980,"Hubei Province, Shennongjia Forest District, Along Xigou canyon, ca 20km N of Jiuhuping Forest Farm; northwestern Hubei Province.",,,Shale ledge above stream.,WILD,,1776467,NA 48987,Acer,,,Acer henryi,Acer henryi  
NA 48989,SABE 1127,Acer campbellii Hook. f. & Thomson ex Hiern subsp. flabellatum (Rehder) A. E. Murray,China,,,Historic,1980,COLLECTED,9/7/1980,"China, Western Hubei Province, Shennongjia Forest District. SE side of watershed divide of Changjiang (Yangtse) and Hanjiang Rivers; near km 73 from Xingshan Xian; vicinity of Muyuping Forest Brigade.",,,,WILD,"Two-trunked tree ca 12m tall, each trunk 30-35cm in diameter; shape broad conical;petioles and samara pink-red; young bark green.",1106225,NA 48989,Acer,Subsp.,flabellatum,Acer campbellii,Acer campbellii subsp. flabellatum
NA 48990,SABE 1805,Acer campbellii Hook. f. & Thomson ex Hiern subsp. sinense (Pax) P. C. DeJong,"Hubei Sheng, China",NA,,Add to cart,1980,COLLECTED,9/25/1980,"Hubei Province, Shennongjia Forest District, Along the Changping River NW of Baishayuan; northwestern Hubei Province.",,,Riparian association along stream.,WILD,,1776468,NA 48990,Acer,Subsp.,sinense,Acer campbellii,Acer campbellii subsp. sinense
NA 51284,NA 51284,Acer sieboldianum Miq.,"Hokkaidô, Japan",NA,,Add to cart,1982,COLLECTED,10/5/1982,,"41.81666000, 140.80000000",,,,,1953341,NA 51284,Acer,,,Acer sieboldianum,Acer sieboldianum  
NA 51409,NA 51409,Acer carpinifolium Siebold & Zucc.,"Honshu, Japan",NA,,Add to cart,1982,COLLECTED,10/15/1982,,,150,Woodland above stream on ledge under Cryptomeria japonica.,,,1951615,NA 51409,Acer,,,Acer carpinifolium,Acer carpinifolium  
NA 58016,KNW 1007,Acer triflorum Kom.,"Kyonggi, Korea, South",NA,,Add to cart,1986,COLLECTED,,from Kwangnumg,"37.81666900, 126.96666000",,,WILD,,1111550,NA 58016,Acer,,,Acer triflorum,Acer triflorum  
NA 61708,NA 61708,Acer tegmentosum Maxim.,"Gangwon-do, Korea, South",NA,,Add to cart,1989,COLLECTED,10/2/1989,Taebek San. Road to You-il-sa (temple).,"37.08611111, 128.89583333",860,"Disturbed area along road. Covered with Actinidia. Growing with Cornus controversa, Larix, Juglans, Rubus.",WILD,,1499047,NA 61708,Acer,,,Acer tegmentosum,Acer tegmentosum  
NA 62057,NA 62057,Acer campestre L.,Hungary,NA,,Add to cart,1990,COLLECTED,,"Kissarret, part of Great Hungarian Plain. Forest steppes called Fas near Belmegyer.",,,,WILD,,1497509,NA 62057,Acer,,,Acer campestre,Acer campestre  
NA 62059,NA 62059,Acer campestre L.,"Vas, Hungary",NA,,Add to cart,1990,COLLECTED,,East of Koszeg,"47.37523300, 16.59816600",,Wet meadow.,WILD,,1497521,NA 62059,Acer,,,Acer campestre,Acer campestre  
NA 62320,NA 62320,Acer triflorum Kom.,,NA,,Add to cart,1990,,,,,,,,,1953266,NA 62320,Acer,,,Acer triflorum,Acer triflorum  
NA 62990,Ames 7481,Acer tataricum L. subsp. tataricum,"Hakkâri, Turkey",,,Historic,1990,COLLECTED,7/16/1985,3 km west on road to Doganci.,"37.66666667, 43.86666667",1490,On steep slopes of pure scree.,WILD,"Tree about 3m tall. Lvs. not lobed. Samara peach colored. Associated plts.: Celtis, Rhamnus, Prunus, Lonicera, Amygdalus, Pistacia, Quercus, Juniperus, and Acer monspessulanum.",1499046,NA 62990,Acer,Subsp.,tataricum,Acer tataricum,Acer tataricum subsp. tataricum
NA 63305,LL91026,Acer tataricum L. subsp. ginnala (Maxim.) Wesm.,"Heilongjiang Sheng, China",NA,,Add to cart,1991,COLLECTED,10/16/1991,Yichuan County,"44.00000000, 129.33333333",,,WILD,"Gift of Jin Tie-shan, Heilongjiang Academy of Forestry.",1494705,NA 63305,Acer,Subsp.,ginnala,Acer tataricum,Acer tataricum subsp. ginnala
NA 64194,HLJ-58,Acer tegmentosum Maxim.,"Heilongjiang Sheng, China",NA,,Add to cart,1993,COLLECTED,9/8/1993,Jian Shan Jiao.,"43.87527778, 129.04111111",544,"Moist woodland in open understory with Acer mono, Tilia amurensis, Acer ukurunduense, Pinus koraiensis.",WILD,,1511140,NA 64194,Acer,,,Acer tegmentosum,Acer tegmentosum  
NA 64526,BJG-017,Acer davidii Franch. subsp. grosseri (Pax) P. C. DeJong,"Beijing Shi, China",NA,,Add to cart,1994,COLLECTED,9/14/1994,"Yong Xiu Gou, (Valley with Beautiful Clouds), Wuling Shan Preserve, Miyun County, PRC.","40.61388889, 117.38861111",760,"Growing in an open sunny site in heavy herbaceous undergrowth with Philadelphus sp., Spiraea sp., and Ampelopsis sp.",WILD,,1510959,NA 64526,Acer,Subsp.,grosseri,Acer davidii,Acer davidii subsp. grosseri
NA 64576,BJG 066,Acer pictum Thunb. ex Murray subsp. mono (Maxim.) H. Ohashi,"Beijing Shi, China",NA,,Add to cart,1994,COLLECTED,9/18/1994,"Yanging County, Song Shan Forest Preserve. Da Zhaung Ke (Old Village)","40.53333333, 115.78333333",1210,"Growing in full sun above boulder field in stream deposited soils which remain dry and well drained in autumn.  In associetion w/ Lezpedeza bicolor, Fraxinus sp., Rhododendron micranthum, Syringa sp. Philadelphus sp. Salix sp. Ampelopsis sp",WILD,,1516366,NA 64576,Acer,Subsp.,mono,Acer pictum,Acer pictum subsp. mono
NA 64651,BJG-141,Acer pictum Thunb. ex Murray subsp. mono (Maxim.) H. Ohashi,"Beijing Shi, China",NA,,Add to cart,1994,COLLECTED,9/29/1994,"Da Nang Gou (Big South Valley), Xiao Long Meng Forest Preserve, Dongling Shan, Mentougou District, PRC.","39.96333333, 115.43055556",1220,Growing along road at base of research experiment valley; growing in boulders on a steep slope above water in organic soils.,WILD,,1511001,NA 64651,Acer,Subsp.,mono,Acer pictum,Acer pictum subsp. mono
NA 64846,WD079,Acer pictum Thunb. ex Murray subsp. mono (Maxim.) H. Ohashi,"Hubei Sheng, China",NA,,Add to cart,1994,COLLECTED,9/20/1994,,,,,WILD,,1777024,NA 64846,Acer,Subsp.,mono,Acer pictum,Acer pictum subsp. mono
NA 64939,NA 64939,Acer griseum (Franch.) Pax,"Hubei Sheng, China",NA,,Add to cart,1994,COLLECTED,9/30/1994,,"32.41305000, 111.00638000",,"West facing steep slope w/ Castanea mollissima, Quercus serrata, Rhus chinensis, & rich ground layer. W/ Actinidia, Cardinus sp., Cornus kousa, Quercus serrata, Forsythia on NW facing steep rock slope.",,,1950970,NA 64939,Acer,,,Acer griseum,Acer griseum  
NA 64942,NA 64942,Acer ceriferum Rehder,"Hubei Sheng, China",NA,,Add to cart,1994,COLLECTED,10/1/1994,,"32.40750000, 110.99833000",,"In moist woodland valley on rocky ledge w/ Lindera glauca, Actinidia chinensis, Acer henryi, Cornus controversa, Pueraria lobata & Quercus serrata. Growing at base of east facing cliff.",,,1951983,NA 64942,Acer,,,Acer ceriferum,Acer ceriferum  
NA 65089,NA 65089,Acer saccharum Marshall subsp. saccharum,"Oklahoma, United States",NA,,Add to cart,1994,COLLECTED,,"Oklahoma, Caddo County",,,,WILD,,1493099,NA 65089,Acer,Subsp.,saccharum,Acer saccharum,Acer saccharum subsp. saccharum
NA 66759,SHX-019,Acer  sp.,"Shaanxi Sheng, China",,,Historic,1995,COLLECTED,4/15/1995,"Long Shang Cun (Village), Baxian Province Grade Forest Station, Pingli County, Ankang District.","32.04027778, 109.30777778",1670,"On west facing steep embankment below a home, underneath plants surrounding Acer Griseum; these seedings are growing in association with Diptronia sinensis, Cercidiphyllum japonicum, Diospyros lotus and other woody and herbaceous sps.",WILD,Deciduous seedlings with greenish stems and leaves just emerging; parent plant could not be located.,1496745,NA 66759,Acer,,,Acer sp.,Acer sp.  
NA 66827,NA 66827,Acer sterculiaceum Wall. subsp. franchetii (Pax) A. E. Murray,China,,,Historic,1995,COLLECTED,10/14/1995,"From Tiansui Botanic Garden, XiaoLun Shan, Kansu, PRC.","34.00000000, 105.00000000",,,WILD,,1512097,NA 66827,Acer,Subsp.,franchetii,Acer sterculiaceum,Acer sterculiaceum subsp. franchetii
NA 66922,'Nyukawa-mura Gifu',Acer carpinifolium Siebold & Zucc.,"District of Columbia, United States",NA,,Add to cart,1986,DONATED,12/1/1986,,,,,CULTIVATED,,1093329,NA 66922,Acer,,,Acer carpinifolium,Acer carpinifolium  
NA 66936,SICH 731,Acer longipes Franch. ex Rehder,"Sichuan Sheng, China",NA,,Add to cart,1991,COLLECTED,,"Sichuan Province, In a steep east/west gorge above a branch of Niqiuo River, north of Jichou Pass, Kangding.",,,"in sun, on open mountainside, steep slope, south, secondary shrubs and herbaceous plants",WILD,,1493930,NA 66936,Acer,,,Acer longipes,Acer longipes  
NA 66959,NA 66959,Acer platanoides L.,,NA,,Add to cart,1975,,,,,,,,,1951835,NA 66959,Acer,,,Acer platanoides,Acer platanoides  
NA 67472,Cui 3041,Acer davidii Franch.,"Shaanxi Sheng, China",NA,,Add to cart,1995,COLLECTED,10/27/1994,"Shiban gulley, Ningxi Forestry Bureau, Ningshaan county","33.57243000, 108.48919700",1400,,WILD,,1518231,NA 67472,Acer,,,Acer davidii,Acer davidii  
NA 67483,CUI 3024,Acer davidii Franch. subsp. grosseri (Pax) P. C. DeJong,"Shaanxi Sheng, China",NA,,Add to cart,1995,COLLECTED,9/23/1994,"Zaofan Valley, Both River Forestry Station, Ningshaang county","33.57243000, 108.48919700",1390,,WILD,,1518237,NA 67483,Acer,Subsp.,grosseri,Acer davidii,Acer davidii subsp. grosseri
NA 67490,Cui 3023,Acer stachyophyllum Hiern,"Shaanxi Sheng, China",NA,,Add to cart,1995,COLLECTED,9/23/1994,"Both River Forestry Station, Ningxi Forestry Bureau, Ningshaan County","33.57243000, 108.48919700",1390,,WILD,,1518240,NA 67490,Acer,,,Acer stachyophyllum,Acer stachyophyllum  
NA 67634,QLG 010,Acer pictum Thunb. ex Murray subsp. mono (Maxim.) H. Ohashi,"Shaanxi Sheng, China",NA,,Add to cart,1996,COLLECTED,10/18/1996,"Foping Nature Preserve, San Guan Miao Forest Sta., Wa Fang Gou (Tile House Gully)","33.64277778, 107.81666667",1800,"Wooodland in opening under high forest canopy 2.5m above stream; 0% N slope, moist organic soils over boulder substrate w/ ferns, Euphorbia, bamboo, Pinus, Carpinus, Acer, Betula, Cornus kousa v. chinensis, Spiraea, Litsea, Tsuga, Helwingia",WILD,"Single-stemmed deciduous tree with broad spreading habit; Ht: 7-8m; DBH: 9cm; Bark: tan to brown; Leaves: glossy green above, dull beneath; tufts of hair at the leaf/petiole interface. Fruit: green samara at almost 180 degree angle.",1579476,NA 67634,Acer,Subsp.,mono,Acer pictum,Acer pictum subsp. mono
NA 67741,QLG 113,Acer davidii Franch.,"Shaanxi Sheng, China",NA,,Add to cart,1996,COLLECTED,10/18/1996,"Nanzheng Forest Bureau, Liping Forest Station, Er Gong Qu","32.78333333, 107.65000000",1500,"Along road in part shade on steep hillside 10m below road; 45% WNW slope; w/ Acer, Carpinus, Lindera, Anemone hupehensis, Spiraea, Pterocarya, Populus, Cornus, Euptelea pleiosperma, Stewartia sinensis and other herbaceous species.",WILD,"6 meters; single-stemmed, deciduous tree with upright arching habit; D.B.H. 10 cm; bark green; fruit borne in long, pendulous raceme-like clusters",1579664,NA 67741,Acer,,,Acer davidii,Acer davidii  
NA 67749,QLG 120,Acer sterculiaceum Wall. subsp. franchetii (Pax) A. E. Murray,"Shaanxi Sheng, China",,,Historic,1996,COLLECTED,10/18/1996,"Nanzheng Forest Bureau, Liping Forest Station, Yi Gong Qu","32.80027778, 107.63361111",1554,open woods/pasture in part to full sun; area has significant regrowth following logging a few years before,,"3-4 meters; multi-stemmed deciduous shrub or small tree with strongly ascending habit; collected from 2-5 plants; D.B.H. 6 cm; grey bark, large horizontal lenticels; leaves 15-20 cm wide, turning yellow to red on different plants;",1579533,NA 67749,Acer,Subsp.,franchetii,Acer sterculiaceum,Acer sterculiaceum subsp. franchetii
NA 67769,QLG 139,Acer cappadocicum Gled. subsp. sinicum (Rehder) Hand.-Mazz.,"Shaanxi Sheng, China",NA,,Add to cart,1996,COLLECTED,10/18/1996,"Liuba Forest Bureau, Miaotaizi Forest Station, Jiang Liang Temple Tourist Area","33.66666667, 106.81666667",1611,"Moist 45% N slope in mixed deciduous/evergreen woodland; well-drained rocky clay loam w/ thick surface layer of organic matter; w/ bamboo,Rubus,Neillia sinensis,Schisandra,Staphylea,Celastrus,Quercus,Aralia,Meliosma,Clematoclethra,Alangium.",WILD,"18-20 meters; single-stemmed, deciduous, broadspreading tree with first branches at least 6 meters above the ground; D.B.H. 80 cm; dark brown with vertical twisting, furrowed bark",1579635,NA 67769,Acer,Subsp.,sinicum,Acer cappadocicum,Acer cappadocicum subsp. sinicum
NA 67779,QLG 149,Acer oliverianum Pax,"Shaanxi Sheng, China",NA,,Add to cart,1996,COLLECTED,10/18/1996,"Liuba Forest Bureau, Miaotaizi Forest Station, Guang Hua Shan","33.64777778, 106.75000000",1900,"Steep slope on shady side of hill; 60% NE slope; growing w/ Salix sp., Lindera sp., Betula sp., Rhus sp., Stachyurus chinensis, Pinus armandii, and several herbaceous species.",WILD,"10-12 meters; multi-stemmed, deciduous tree with upright irregular habit; DBH: 20-35cm; fruit samaras turning red",1579590,NA 67779,Acer,,,Acer oliverianum,Acer oliverianum  
NA 67795,QLG 165,Acer erianthum Schwer.,"Shaanxi Sheng, China",,,Historic,1996,COLLECTED,10/18/1996,"Ningxi Preserve, Caiziping Forest Station, Xi Gou","33.71694444, 108.20027778",2060,"open, sunny site two meters above a fast moving stream; area has been logged over; among boulders on a sloping site",,"7 meters; single-stemmed, deciduous tree with upright habit and short lateral branches; D.B.H. 20 cm; bark tan",1579669,NA 67795,Acer,,,Acer erianthum,Acer erianthum  
NA 67846,QLG 215,Acer davidii Franch.,"Shaanxi Sheng, China",NA,,Add to cart,1996,COLLECTED,10/18/1996,"Ningxi Preserve, enroute to Caiziping Forest Station town","33.76694444, 108.33361111",2105,"Full sun along roadside in dry, well-drained site; 35% E slope; growing w/ Salix, Sinacalcia tangutica, Rubus, Aralia, Ulmus, Populus, and numerous herbaceous species.",WILD,"5-6 meters; single-stemmed, deciduous, upright vase-shaped tree with spreading arching branches; D.B.H. 12 cm; bark green even on mature stems",1579634,NA 67846,Acer,,,Acer davidii,Acer davidii  
NA 67877,QLG 245,Acer oliverianum Pax,"Gansu Sheng, China",NA,,Add to cart,1996,COLLECTED,10/18/1996,"Xiao Long Shan Forest Bureau, Guang Ying Forest Station, Wang Jia Gou","34.18361111, 106.00027778",1550,"Full sun in an area where goats are grazing, highly disturbed; 20% NW slope; clay-loam; growing w/ Angelia, ferns, Anemone hupehensis, Fragaria, Juglans, Rosa, Quercus, Tilia, and numerous herbaceous species.",WILD,"8-13 meters; single-stemmed, deciduous trees with first branch 3-4 meters above the ground with upright and spreading habit with age; D.B.H. 17.5-20 cm; bark smooth and tan-gray; some leaves beginning to turn red on the tips",1579505,NA 67877,Acer,,,Acer oliverianum,Acer oliverianum  
NA 67881,QLG 249,Acer sterculiaceum Wall. subsp. franchetii (Pax) A. E. Murray,"Gansu Sheng, China",,,Historic,1996,COLLECTED,10/18/1996,"Xiao Long Shan Forest Bureau, Guang Ying Forest Station, 10 km gully, along Leng Shui He (Cool Water River)","34.21694444, 106.00027778",1470,"Along stream on slope 4m above water in part to full sun between road and stream; 30% W slope; growing w/ Carpinus sp., Cephalotaxus sinensis, Malus sp., Corylus sp., Clematis sp., Cornus sp., Acer sp. and numerous herbaceous species.",,"6-7 meters; single-stemmed, deciduous tree with upright spreading habit; D.B.H. 15 cm; bark gray-tan; leaves beginning to turn red; fruits contain irritating hairs on the samaras which act like the tiny spines of a cactus",1579764,NA 67881,Acer,Subsp.,franchetii,Acer sterculiaceum,Acer sterculiaceum subsp. franchetii
NA 67882,QLG 250,Acer pictum Thunb. ex Murray subsp. mono (Maxim.) H. Ohashi,"Gansu Sheng, China",NA,,Add to cart,1996,COLLECTED,10/18/1996,"Xiao Long Shan Forest Bureau, Guang Ying Forest Station, Da Feng Shan","34.30027778, 106.00027778",1790,"Sunny steep slope along the roadside; 40% E slope; growing w/ Acer sp., Quercus sp., Tilia sp., Rhus sp. and numerous herbaceous species.",WILD,"12 meters; single-stemmed, deciduous tree with narrow-spreading habit; D.B.H. 25 cm; bark gray and shallow furrows",1579624,NA 67882,Acer,Subsp.,mono,Acer pictum,Acer pictum subsp. mono
NA 68810,CBS 051,Acer pseudosieboldianum (Pax) Kom.,"Jilin Sheng, China",NA,,Add to cart,1997,COLLECTED,10/1/1997,Changbai County,"41.43277778, 127.82388889",690,"On rocky slopes, dry with Quercus mongolica, Tilia amurensis, Maackia amurensis and Ulmus sp.; 60% SE slope.",WILD,small tree; leaves changing to red to yellow,1579162,NA 68810,Acer,,,Acer pseudosieboldianum,Acer pseudosieboldianum  
NA 68867,CBS 108,Acer triflorum Kom.,"Jilin Sheng, China",NA,,Add to cart,1997,COLLECTED,10/1/1997,"Antu County, On Changbaishan","42.40583333, 128.09138889",720,"Open forest understory along stream with Pinus koraiensis, Populus koreana, Acer mono, Maackia amurensis; 0% slope; moist, rocky flood plain, drains quickly.",WILD,"10-15 m; tree; D.B.H. 30 cm; leaves just turning to red and orange; fruit green; bark tan to gray, exfoliating in twisted plates",1579203,NA 68867,Acer,,,Acer triflorum,Acer triflorum  
NA 69093,EHOK 178,Acer pictum Thunb. ex Murray subsp. mono (Maxim.) H. Ohashi,"Hokkaidô, Japan",NA,,Add to cart,1998,COLLECTED,9/17/1997,"Ishizake, Kaminokuni-cho, Hiyama-gun, Hokkaido.  2 km. east of Ishizaki, near Ishkizaki river at the bottom of a very steep escarpment.","41.69250000, 140.04888889",50,"Aspect SE.  Parent rock welded volcanic tuff.  Associates include: Quercus mongolica var. grosseserrata, Pterocarya rhoifolia, Prunus sargentii, Morus bombysis, with Sasa and Tueria lobata on the ground.",WILD,,1612162,NA 69093,Acer,Subsp.,mono,Acer pictum,Acer pictum subsp. mono
