"","TAXON","GENUS","SPECIES","RANK","INFRASPECIFC","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","SECONDARY_ASSOCIATED_CROP_COMMON_NAME","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","CATEGORY","TIER","GENEPOOL","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","TaxonName","AccYear","ItemLocationName","IUCNRedList","IUCNRedListCode","LifeForm","NationalRedListCode","NationalRedList","RegionalRedList","RegionalRedListCode","Locality","MaterialType","AltitudeFrom","AltitudeTo","CoordLatDD","CoordLongDD","CountryName","ItemAccNoRef","ContactNameFull","TaxonNameFull","ItemAccNoFull","Cultivar","AccNoCons","CollNo","DetType","ProvenanceCode","ItemNo","AtrA_Variant","Collector","ItemConsNo","ItemStatusDate","ItemStatusCode","ItemType","AccNoFull","CollName","AccNo","CollNo.1","CollCode","Genus","ItemLocationRef","ItemSpecCount","SpecCount","Genus.1","Species_only","Variant","Subspecies","Rank","Infraspecific","Species"
"12","Abies amabilis","Abies","Abies amabilis",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies amabilis",2016,"Rainforest - Northmost central wooded bed","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Chilliwack River Valley, Chipmunk Creek Service Road","seed",770,NA,49.203055,-121.863333,"Canada","","Stormes, Ben","Abies amabilis Douglas ex J.Forbes","2016-0356.02","","","bjs.2016-0060","","W",2,"","Stormes, Ben",NA,"2019-10-31","P","Planting","2016-0356","UBC Botanical Garden",356,"bjs.2016-0060","UBC","Abies","","1","","Abies","amabilis","","","","","Abies amabilis"
"13","Abies amabilis","Abies","Abies amabilis",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies amabilis",2016,"Middle central wooded bed","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Chilliwack River Valley, Chipmunk Creek Service Road","seed",770,NA,49.203055,-121.863333,"Canada","","Stormes, Ben","Abies amabilis Douglas ex J.Forbes","2016-0356.04","","","bjs.2016-0060","","W",4,"","Stormes, Ben",NA,"2019-10-31","P","Planting","2016-0356","UBC Botanical Garden",356,"bjs.2016-0060","UBC","Abies","","1","","Abies","amabilis","","","","","Abies amabilis"
"14","Abies amabilis","Abies","Abies amabilis",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies amabilis",2016,"Middle central wooded bed","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Chilliwack River Valley, Chipmunk Creek Service Road","seed",770,NA,49.203055,-121.863333,"Canada","","Stormes, Ben","Abies amabilis Douglas ex J.Forbes","2016-0356.05","","","bjs.2016-0060","","W",5,"","Stormes, Ben",NA,"2019-10-31","P","Planting","2016-0356","UBC Botanical Garden",356,"bjs.2016-0060","UBC","Abies","","1","","Abies","amabilis","","","","","Abies amabilis"
"15","Abies amabilis","Abies","Abies amabilis",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies amabilis",2016,"Middle central wooded bed","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Chilliwack River Valley, Chipmunk Creek Service Road","seed",770,NA,49.203055,-121.863333,"Canada","","Stormes, Ben","Abies amabilis Douglas ex J.Forbes","2016-0356.06","","","bjs.2016-0060","","W",6,"","Stormes, Ben",NA,"2019-10-31","P","Planting","2016-0356","UBC Botanical Garden",356,"bjs.2016-0060","UBC","Abies","","1","","Abies","amabilis","","","","","Abies amabilis"
"16","Abies balsamea","Abies","Abies balsamea",NA,NA,"Fir",NA,"Y","N","Y","needles","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Abies balsamea",2011,"Bannister","Least concern","LC","Tree","","","","","need data","seed",NA,NA,NA,NA,"Canada","","Montreal Botanic Garden, Montreal, PQ, Canada","Abies balsamea (L.) Mill.","2011-0524.01","","40803/0-0063-2011","","","W",1,"","",NA,"2019-07-26","O","Planting","2011-0524","UBC Botanical Garden",524,"","UBC","Abies","","1","7","Abies","balsamea","","","","","Abies balsamea"
"17","Abies balsamea","Abies","Abies balsamea",NA,NA,"Fir",NA,"Y","N","Y","needles","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Abies balsamea",2011,"Bannister","Least concern","LC","Tree","","","","","need data","seed",NA,NA,NA,NA,"Canada","2011-0524.01","Montreal Botanic Garden, Montreal, PQ, Canada","Abies balsamea (L.) Mill.","2011-0524.02","","40803/0-0063-2011","","","W",2,"","",NA,"2019-07-26","O","Planting","2011-0524","UBC Botanical Garden",524,"","UBC","Abies","","1","7","Abies","balsamea","","","","","Abies balsamea"
"18","Abies balsamea","Abies","Abies balsamea",NA,NA,"Fir",NA,"Y","N","Y","needles","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Abies balsamea",2017,"Bed 3 Bulb Frame (Alpine Garden)","Least concern","LC","Tree","","","","","","plant",NA,NA,NA,NA,"","","Glenn Patterson, 4761 Pilot House, West Vancouver, BC, Canada","Abies balsamea (L.) Mill.","2017-0046.01","","","","cf.","G",1,"","",NA,"2020-06-17","O","Planting","2017-0046","UBC Botanical Garden",46,"","UBC","Abies","","1","1","Abies","balsamea","","","","","Abies balsamea"
"19","Abies balsamea","Abies","Abies balsamea",NA,NA,"Fir",NA,"Y","N","Y","needles","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Abies balsamea 'Nana'",1987,"Bed 1 North America (Alpine Garden)","","","Shrub","","","","","","plant",NA,NA,NA,NA,"","1987-0067.01","Adera Nurseries","Abies balsamea (L.) Mill. 'Nana'","1987-0067.02","'Nana'","25461/0-0526-1987","","","G",2,"","",NA,"2018-08-10","O","Planting","1987-0067","UBC Botanical Garden",67,"","UBC","Abies","Section 2","1","3","Abies","balsamea","","","","","Abies balsamea"
"20","Abies balsamea","Abies","Abies balsamea",NA,NA,"Fir",NA,"Y","N","Y","needles","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Abies balsamea 'Nana'",1987,"Bed 3 North America (Alpine Garden)","","","Shrub","","","","","","plant",NA,NA,NA,NA,"","","Adera Nurseries","Abies balsamea (L.) Mill. 'Nana'","1987-0067.01","'Nana'","25461/0-0526-1987","","","G",1,"","",NA,"2019-06-24","O","Planting","1987-0067","UBC Botanical Garden",67,"","UBC","Abies","Section 2","1","3","Abies","balsamea","","","","","Abies balsamea"
"21","Abies balsamea","Abies","Abies balsamea",NA,NA,"Fir",NA,"Y","N","Y","needles","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Abies balsamea",2011,"Bannister","Least concern","LC","Tree","","","","","need data","seed",NA,NA,NA,NA,"Canada","2011-0524.01","Montreal Botanic Garden, Montreal, PQ, Canada","Abies balsamea (L.) Mill.","2011-0524.03","","40803/0-0063-2011","","","W",3,"","",NA,"2019-07-26","O","Planting","2011-0524","UBC Botanical Garden",524,"","UBC","Abies","","1","7","Abies","balsamea","","","","","Abies balsamea"
"22","Abies balsamea","Abies","Abies balsamea",NA,NA,"Fir",NA,"Y","N","Y","needles","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Abies balsamea",2011,"Tradescant","Least concern","LC","Tree","","","","","need data","seed",NA,NA,NA,NA,"Canada","","Montreal Botanic Garden, Montreal, PQ, Canada","Abies balsamea (L.) Mill.","2011-0524.04","","40803/0-0063-2011","","","W",4,"","",NA,"2020-02-04","O","Planting","2011-0524","UBC Botanical Garden",524,"","UBC","Abies","","1","7","Abies","balsamea","","","","","Abies balsamea"
"23","Abies balsamea","Abies","Abies balsamea",NA,NA,"Fir",NA,"Y","N","Y","needles","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Abies balsamea 'Nana'",1987,"Bed 3 North America (Alpine Garden)","","","Shrub","","","","","","plant",NA,NA,NA,NA,"","1987-0067.01","Adera Nurseries","Abies balsamea (L.) Mill. 'Nana'","1987-0067.03","'Nana'","25461/0-0526-1987","","","G",3,"","",NA,"2019-06-27","O","Planting","1987-0067","UBC Botanical Garden",67,"","UBC","Abies","Section 3","1","3","Abies","balsamea","","","","","Abies balsamea"
"24","Abies grandis","Abies","Abies grandis",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies grandis",1975,"Upper large bed between stadium and path","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Hope Slide, east of slide,  in gravel pit north side of road by big rock at east end of meadows","plant",610,NA,49.383333,-121.383333,"Canada","","Rose, Allan A.","Abies grandis (Douglas ex D.Don) Lindl.","1975-0757.01","","12486/0-0284-1975","AAR.75919","","W",1,"","Rose, Allan A.",NA,"2007-12-14","B","Planting","1975-0757","UBC Botanical Garden",757,"AAR.75919","UBC","Abies","","1","1","Abies","grandis","","","","","Abies grandis"
"25","Abies grandis","Abies","Abies grandis",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies grandis",2003,"Upper large bed between stadium and path","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","","unknown",NA,NA,NA,NA,"","2003-0280.02","2003 Lost accession number, given new number","Abies grandis (Douglas ex D.Don) Lindl.","2003-0280.01","","37005/0-1003-2003","","","U",1,"","",NA,"2008-08-11","P","Planting","2003-0280","UBC Botanical Garden",280,"","UBC","Abies","","1","3","Abies","grandis","","","","","Abies grandis"
"26","Abies grandis","Abies","Abies grandis",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies grandis",2017,"Nursery","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Neville Nye Memorial Cypress Grove, Flounce Rock at the end of Forest Road 32-2E-34D off Ulrich Road from Crater Lake Hwy, Cascade Gorge","seed",1255,NA,42.732528,-122.605444,"United States of America","2017-0412.87","UBC Botanical Garden Field Collections, Vancouver, BC, Canada","Abies grandis (Douglas ex D.Don) Lindl.","2017-0412.86","","","EHOC42","","W",86,"","McCheyne, Neil; David Gray & Andrew Jamieson",NA,"2021-01-26","PRO","Planting","2017-0412","UBC Botanical Garden",412,"EHOC42","UBC","Abies","","2","many","Abies","grandis","","","","","Abies grandis"
"27","Abies grandis","Abies","Abies grandis",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies grandis",2004,"Upper large bed between stadium and path","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","","unknown",NA,NA,NA,NA,"","","2003 Lost accession number, given new number","Abies grandis (Douglas ex D.Don) Lindl.","2004-0116.01","","37148/0-1003-2004","","","U",1,"","",NA,"2008-08-11","P","Planting","2004-0116","UBC Botanical Garden",116,"","UBC","Abies","","1","1","Abies","grandis","","","","","Abies grandis"
"28","Abies grandis","Abies","Abies grandis",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies grandis",2004,"Upper large bed between stadium and path","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","","unknown",NA,NA,NA,NA,"","","2003 Lost accession number, given new number","Abies grandis (Douglas ex D.Don) Lindl.","2004-0115.01","","37147/0-1003-2004","","","U",1,"","",NA,"2008-08-11","P","Planting","2004-0115","UBC Botanical Garden",115,"","UBC","Abies","","1","1","Abies","grandis","","","","","Abies grandis"
"29","Abies grandis","Abies","Abies grandis",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies grandis",2003,"Upper large bed between stadium and path","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","","unknown",NA,NA,NA,NA,"","","2003 Lost accession number, given new number","Abies grandis (Douglas ex D.Don) Lindl.","2003-0296.01","","37021/0-1003-2003","","","U",1,"","",NA,"2020-11-20","O","Planting","2003-0296","UBC Botanical Garden",296,"","UBC","Abies","","1","1","Abies","grandis","","","","","Abies grandis"
"30","Abies grandis","Abies","Abies grandis",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies grandis",1975,"Rainforest - Southeast most bed adjacent to Ropes Course","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","UBC Endowment Lands","plant",38,NA,49.266667,-122.166667,"Canada","","Rose, Allan A.","Abies grandis (Douglas ex D.Don) Lindl.","1975-0077.01","","11204/0-0284-1975","AAR.75017","","W",1,"","Rose, Allan A.",NA,"1975-01-01","P","Planting","1975-0077","UBC Botanical Garden",77,"AAR.75017","UBC","Abies","","1","1","Abies","grandis","","","","","Abies grandis"
"31","Abies lasiocarpa","Abies","Abies lasiocarpa",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies lasiocarpa",2011,"East Pinetum","Least concern","LC","Tree","","","","","Cranbrook East","seed",1725,NA,49.666667,-115.433333,"Canada","","BC Forest Services, ?Victoria, BC, Canada","Abies lasiocarpa Endl.","2011-0058.01","","40342/0-0332-2011","","","W",1,"","",NA,"2018-09-26","M","Planting","2011-0058","UBC Botanical Garden",58,"","UBC","Abies","","1","101","Abies","lasiocarpa","","","","","Abies lasiocarpa"
"32","Abies lasiocarpa","Abies","Abies lasiocarpa",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies lasiocarpa",2016,"Nursery","Least concern","LC","Tree","","","","","Blackcomb Mountain, Whistler","seed",NA,NA,NA,NA,"Canada","","Caddy, Laura","Abies lasiocarpa Endl.","2016-0293.88","","","LJC.16-40","","W",88,"","Mosquin, Daniel",NA,"2020-07-29","PRO","Planting","2016-0293","UBC Botanical Garden",293,"LJC.16-40","UBC","Abies","","2","","Abies","lasiocarpa","","","","","Abies lasiocarpa"
"33","Abies lasiocarpa","Abies","Abies lasiocarpa",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies lasiocarpa",2011,"East Pinetum","Least concern","LC","Tree","","","","","Cranbrook East","seed",1725,NA,49.666667,-115.433333,"Canada","","BC Forest Services, ?Victoria, BC, Canada","Abies lasiocarpa Endl.","2011-0058.02","","40342/0-0332-2011","","","W",2,"","",NA,"2018-09-26","M","Planting","2011-0058","UBC Botanical Garden",58,"","UBC","Abies","","1","101","Abies","lasiocarpa","","","","","Abies lasiocarpa"
"34","Abies lasiocarpa","Abies","Abies lasiocarpa",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies lasiocarpa",2016,"Bed 4 North America (Alpine Garden)","Least concern","LC","Tree","","","","","Blackcomb Mountain, Whistler","seed",NA,NA,NA,NA,"Canada","","Caddy, Laura","Abies lasiocarpa Endl.","2016-0293.01","","","LJC.16-40","","W",1,"","Mosquin, Daniel",NA,"2020-09-09","O","Planting","2016-0293","UBC Botanical Garden",293,"LJC.16-40","UBC","Abies","Section 2","1","","Abies","lasiocarpa","","","","","Abies lasiocarpa"
"35","Abies lasiocarpa","Abies","Abies lasiocarpa",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies lasiocarpa",1973,"Bed 4 North America (Alpine Garden)","Least concern","LC","Tree","","","","","Nr.Revelstoke,BC","plant",NA,NA,NA,NA,"Canada","","Johnson Landscaping Co., Vancouver, BC, Canada","Abies lasiocarpa Endl.","1973-0736.02","","11705/0-5077-1973","","","W",2,"","",NA,"2018-10-25","O","Planting","1973-0736","UBC Botanical Garden",736,"","UBC","Abies","Section 2","1","3","Abies","lasiocarpa","","","","","Abies lasiocarpa"
