SPECIES,PROVINCE,PROVENANCE,LOCALITY,latitude,longitude,GARDEN_CODE,INSTITUTION,total_accessions,total_accessions_BG_or_G,PRIMARY_ASSOCIATED_CROP_COMMON_NAME,GENUS,FINEST_TAXON_RESOLUTION,CWR,WUS,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,TIER,GENEPOOL,CATEGORY,GRAFTSTOCK,ABIOTIC_TRAIT_2,ABIOTIC_TRAIT_3,BIOTIC_TRAIT_1,BIOTIC_TRAIT_2,FERTILITY_TRAIT,AGRONOMIC_TRAIT_1,AGRONOMIC_TRAIT_2,AGRONOMIC_TRAIT_3,PHENOLOGICAL_TRAIT,SOURCE_OF_TAXON,GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE,WUS_SOURCE,total_CWRs_in_province,endemic_CWRs_in_province,total_WUS_in_province,endemic_WUS_in_province
Abies amabilis,British Columbia,NA,Rogers Creek,50.05,-122.3667,PGRC,G,26,10,Fir,Abies,Y,Y,N,,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,,138,46,104,36
Abies amabilis,British Columbia,NA,Tenquille,50.53333,-122.7833,PGRC,G,26,10,Fir,Abies,Y,Y,N,,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,,138,46,104,36
Abies amabilis,British Columbia,NA,"Chilliwack River Valley, Chipmunk Creek Service Road",49.203055,-121.863333,3,BG,26,16,Fir,Abies,Y,Y,N,,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,,138,46,104,36
Abies amabilis,British Columbia,NA,Harris Creek,48.66667,-124.0833,PGRC,G,26,10,Fir,Abies,Y,Y,N,,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,,138,46,104,36
Abies amabilis,British Columbia,NA,west coast of Vancouver Island,49.142627,-125.835069,3,BG,26,16,Fir,Abies,Y,Y,N,,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,,138,46,104,36
Abies amabilis,British Columbia,NA,Kelsey Bay,50.4,-126,PGRC,G,26,10,Fir,Abies,Y,Y,N,,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,,138,46,104,36
Abies amabilis,British Columbia,NA,Coldwater River,49.65,-121.1,PGRC,G,26,10,Fir,Abies,Y,Y,N,,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,,138,46,104,36
Abies amabilis,British Columbia,NA,Mt. Washington,49.75,-125.25,PGRC,G,26,10,Fir,Abies,Y,Y,N,,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,,138,46,104,36
Abies amabilis,British Columbia,NA,Coldwater Creek,55.3166,-128.75,PGRC,G,26,10,Fir,Abies,Y,Y,N,,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,,138,46,104,36
Abies amabilis,British Columbia,NA,Mayo Creek,54.8,-128.8833,PGRC,G,26,10,Fir,Abies,Y,Y,N,,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,,138,46,104,36
Abies amabilis,British Columbia,NA,"Chilliwack River Valley, Chipmunk Creek Service Road",49.203055,-121.863333,3,BG,26,16,Fir,Abies,Y,Y,N,,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,,138,46,104,36
Abies amabilis,British Columbia,NA,NA,55.1,-127.4,3,BG,26,16,Fir,Abies,Y,Y,N,,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,,138,46,104,36
Abies amabilis,British Columbia,NA,"Chilliwack River Valley, Chipmunk Creek Service Road",49.203055,-121.863333,3,BG,26,16,Fir,Abies,Y,Y,N,,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,,138,46,104,36
Abies amabilis,British Columbia,NA,Burdick Creek,55.2166,-125.85,PGRC,G,26,10,Fir,Abies,Y,Y,N,,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,,138,46,104,36
Abies amabilis,British Columbia,NA,"Chilliwack River Valley, Chipmunk Creek Service Road",49.203055,-121.863333,3,BG,26,16,Fir,Abies,Y,Y,N,,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,,138,46,104,36
Abies balsamea,Alberta,NA,NA,NA,NA,NA,NA,NA,NA,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,85,4,60,2
Abies balsamea,Manitoba,NA,NA,NA,NA,NA,NA,NA,NA,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,73,1,47,1
Abies balsamea,New Brunswick,NA,Clair,47.31667,-68.68333,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Harewood,46.1,-65.2,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Bear Lake,47.16667,-66.16666,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Clair,47.31667,-68.68333,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Acadia Research Forest,46.01667,-66.36667,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Clair,47.31667,-68.68333,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Mechanic Settlement,45.66667,-65.16666,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Central Blissville,45.68333,-66.55,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Sheephouse Brook,47.08333,-65.98333,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Clair,47.31667,-68.68333,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Clair,47.31667,-68.68333,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Clair,47.31667,-68.68333,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Harewood,46.13334,-65.15,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Gounamitz River,47.68333,-67.95,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Big Salmon River,45.41667,-65.43333,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Acadia Research Forest,46.01667,-66.36667,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Acadia Research Forest,46.01667,-66.36667,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Plaster Rock,46.91667,-67.13333,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Acadia Research Forest,46.01667,-66.36667,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Fairview,45.4,-65.48333,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Canoose,45.35,-67.38333,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Acadia Research Forest,46.01667,-66.36667,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Clair,47.31667,-68.68333,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Clair,47.31667,-68.68333,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Acadia Research Forest,46.01667,-66.36667,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Honeydale,45.35,-67.15,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Harewood,46.13334,-65.15,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Gounamitz River,47.68333,-67.95,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Clair,47.31667,-68.68333,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Acadia Research Forest,46.01667,-66.36667,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Richibucto,46.68333,-64.86667,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Clair,47.31667,-68.68333,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,McGraw Brook,46.83333,-66.1,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Gounamitz River,47.68333,-67.95,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Gounamitz River,47.68333,-67.95,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Coles Island,45.9,-65.71667,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Gounamitz River,47.68333,-67.95,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Gounamitz River,47.68333,-67.95,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Acadieville,46.66667,-65.3,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Gounamitz River,47.68333,-67.95,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Gounamitz River,47.68333,-67.95,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Camerons Mill,46.66667,-65.13333,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Acadia Research Forest,46.01667,-66.36667,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Gounamitz River,47.68333,-67.95,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Gounamitz River,47.68333,-67.95,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Acadia Research Forest,45.96667,-66.33334,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Salmon River,46.43333,-65.53333,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Castaway,46.3,-65.71667,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Harewood,46.13334,-65.15,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Cornhill,45.93333,-65.35,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Astle,46.41667,-66.46667,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Gounamitz River,47.68333,-67.95,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,New Brunswick,NA,Deersdale,46.5,-67.05,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,69,1,56,0
Abies balsamea,Newfoundland and Labrador,NA,Western Newfoundland,49.7,-57.5,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,38,0,34,0
Abies balsamea,Newfoundland and Labrador,NA,Roddickton,50.98333,-56.23333,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,38,0,34,0
Abies balsamea,Newfoundland and Labrador,NA,Georges Brook,48.27164,-53.9818,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,38,0,34,0
Abies balsamea,Newfoundland and Labrador,NA,Georges Brook,48.27564,-53.98183,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,38,0,34,0
Abies balsamea,Newfoundland and Labrador,W,St John's,47.557938,-52.719606,1,BG,225,96,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,38,0,34,0
Abies balsamea,Newfoundland and Labrador,NA,Port Saunders,50.41667,-57.25,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,38,0,34,0
Abies balsamea,Newfoundland and Labrador,NA,Copper Lake,48.911,-57.6965,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,38,0,34,0
Abies balsamea,Newfoundland and Labrador,NA,Georges Brook,48.27016,-53.98245,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,38,0,34,0
Abies balsamea,Newfoundland and Labrador,NA,Georges Brook,48.288,-53.9874,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,38,0,34,0
Abies balsamea,Newfoundland and Labrador,W,STEADYBROOK,48.951089,-57.833385,1,BG,225,96,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,38,0,34,0
Abies balsamea,Newfoundland and Labrador,NA,Hawkes Bay,50.5525,-57.2935,PGRC,G,225,129,Fir,Abies,Y,Y,Y,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020,38,0,34,0
