scientificName,kingdom
Helianthus nuttallii subsp. rydbergii,plantae
Helianthus pauciflorus,plantae
Helianthus pauciflorus subsp. pauciflorus,plantae
Helianthus pauciflorus subsp. subrhomboideus,plantae
Helianthus petiolaris,plantae
Helianthus petiolaris subsp. petiolaris,plantae
Helianthus strumosus,plantae
Helianthus tuberosus,plantae
Heracleum maximum,plantae
Heuchera chlorantha,plantae
Holodiscus discolor,plantae
Holodiscus discolor var. discolor,plantae
Honckenya peploides,plantae
Honckenya peploides subsp. diffusa,plantae
Honckenya peploides subsp. major,plantae
Honckenya peploides subsp. robusta,plantae
Hordeum brachyantherum,plantae
Hordeum brachyantherum subsp. brachyantherum,plantae
Hordeum depressum,plantae
Hordeum jubatum,plantae
Hordeum pusillum,plantae
Hosackia gracilis,plantae
Hosackia pinnata,plantae
Humulus lupulus,plantae
Humulus lupulus var. lupuloides,plantae
Humulus lupulus var. neomexicanus,plantae
Juglans cinerea,plantae
Juglans nigra,plantae
Juniperus communis,plantae
Juniperus communis var. charlottensis,plantae
Juniperus communis var. depressa,plantae
Juniperus communis var. megistocarpa,plantae
Juniperus communis var. saxatilis,plantae
Juniperus horizontalis,plantae
Juniperus maritima,plantae
Juniperus scopulorum,plantae
Kalmia microphylla,plantae
Kalmia microphylla var. microphylla,plantae
Kalmia microphylla var. occidentalis,plantae
Lactuca pulchella,plantae
Larix laricina,plantae
Larix lyallii,plantae
Larix occidentalis,plantae
Lathyrus japonicus,plantae
Lathyrus lanszwertii,plantae
Lathyrus lanszwertii var. bijugatus,plantae
Lathyrus littoralis,plantae
Lathyrus nevadensis,plantae
Lathyrus nevadensis var. nevadensis,plantae
Lathyrus palustris,plantae
Lathyrus venosus,plantae
Lathyrus venosus var. intonsus,plantae
Leymus cinereus,plantae
Leymus innovatus,plantae
Leymus innovatus subsp. innovatus,plantae
Leymus innovatus subsp. velutinus,plantae
Leymus mollis,plantae
Leymus mollis subsp. mollis,plantae
Leymus mollis subsp. villosissimus,plantae
Leymus triticoides,plantae
Lilium columbianum,plantae
Linum lewisii,plantae
Linum lewisii var. lepagei,plantae
Linum lewisii var. lewisii,plantae
Linum medium,plantae
Linum medium var. medium,plantae
Linum medium var. texanum,plantae
Linum perenne,plantae
Linum rigidum,plantae
Linum rigidum var. rigidum,plantae
Linum sulcatum,plantae
Linum virginianum,plantae
Lomatium ambiguum,plantae
Lomatium cous,plantae
Lomatium dissectum,plantae
Lomatium foeniculaceum,plantae
Lomatium foeniculaceum subsp. foeniculaceum,plantae
Lomatium geyeri,plantae
Lomatium macrocarpum,plantae
Lomatium nudicaule,plantae
Lomatium triternatum,plantae
Lomatium utriculatum,plantae
Lonicera ciliosa,plantae
Lonicera involucrata,plantae
Lonicera involucrata var. involucrata,plantae
Lonicera utahensis,plantae
Lupinus littoralis,plantae
Lupinus littoralis var. littoralis,plantae
Lupinus nootkatensis,plantae
Lupinus nootkatensis var. fruiticosus,plantae
Lupinus nootkatensis var. nootkatensis,plantae
Lupinus polyphyllus,plantae
Lupinus polyphyllus var. burkei,plantae
Lupinus polyphyllus var. humicola,plantae
Lupinus polyphyllus var. polyphyllus,plantae
Lysichiton americanus,plantae
Magnolia acuminata,plantae
Mahonia aquifolia,plantae
Mahonia nervosa,plantae
Mahonia repens,plantae
Maianthemum dilatatum,plantae
Maianthemum racemosum,plantae
Maianthemum stellatum,plantae
Malus coronaria,plantae
Malus fusca,plantae
Melica bulbosa,plantae
Melica subulata,plantae
Mentha canadensis,plantae
Micromeria douglasii,plantae
Mitchella repens,plantae
Monarda fistulosa,plantae
Monarda fistulosa var. fistulosa,plantae
Monarda fistulosa var. menthifolia,plantae
Monarda fistulosa var. mollis,plantae
Monotropa uniflora,plantae
Morella pensylvanica,plantae
Morus rubra,plantae
Myrica gale,plantae
Nicotiana attenuata,plantae
Nuphar polysepala,plantae
Nymphaea tetragona,plantae
Oemleria cerasiformis,plantae
Oenanthe sarmentosa,plantae
Oplopanax horridus,plantae
Opuntia fragilis,plantae
Opuntia polyacantha,plantae
Opuntia polyacantha var. polyacantha,plantae
Oxybasis rubra,plantae
Oxybasis rubra var. humilis,plantae
Oxybasis rubra var. rubra,plantae
Panax quinquefolius,plantae
Panax trifolius,plantae
Panicum capillare,plantae
Panicum dichotomiflorum,plantae
Panicum dichotomiflorum subsp. dichotomiflorum,plantae
Panicum dichotomiflorum subsp. puritanorum,plantae
Panicum philadelphicum,plantae
Panicum virgatum,plantae
Pascopyrum smithii,plantae
Phalaris arundinacea,plantae
Phalaris arundinacea var. arundinaceae,plantae
Phalaris arundinacea var. picta,plantae
Philadelphus lewisii,plantae
Phleum alpinum,plantae
Physalis heterophylla,plantae
Physalis virginiana,plantae
Physaria arctica,plantae
Physaria douglasii,plantae
Physaria douglasii subsp. douglasii,plantae
Physaria spatulata,plantae
Picea engelmannii,plantae
Picea engelmannii var. engelmannii,plantae
Picea glauca,plantae
Picea mariana,plantae
Picea rubens,plantae
Picea sitchensis,plantae
Pinus albicaulis,plantae
Pinus banksiana,plantae
Pinus contorta,plantae
Pinus contorta var. contorta,plantae
Pinus contorta var. latifolia,plantae
Pinus contorta var. yukonensis,plantae
Pinus flexilis,plantae
Pinus monticola,plantae
Pinus ponderosa,plantae
Pinus ponderosa var. ponderosa,plantae
Pinus ponderosa var. scopulorum,plantae
Pinus resinosa,plantae
Pinus rigida,plantae
Pinus strobus,plantae
Plantago maritima,plantae
Poa gaspensis,plantae
Poa abbreviata,plantae
Poa abbreviata subsp. abbreviata,plantae
Poa abbreviata subsp. pattersonii,plantae
Poa alpina,plantae
Poa alpina subsp. alpina,plantae
Poa alpina subsp. vivipara,plantae
Poa alsodes,plantae
Poa arctica,plantae
Poa arctica subsp. arctica,plantae
Poa arctica subsp. caespitans,plantae
Poa arctica subsp. grayana,plantae
Poa arctica subsp. lanata,plantae
Poa arida,plantae
Poa confinis,plantae
Poa cusickii,plantae
Poa cusickii subsp. epillis,plantae
Poa cusickii subsp. pallida,plantae
Poa cusickii subsp. purpurascens,plantae
Poa glauca,plantae
Poa glauca subsp. glauca,plantae
Poa glauca subsp. rupicola,plantae
Poa hartzii,plantae
Poa hartzii subsp. hartzii,plantae
Poa hartzii subsp. vrangelica,plantae
Poa howellii,plantae
Poa leptocoma,plantae
Poa lettermanii,plantae
Poa macrantha,plantae
Poa marcida,plantae
Poa nemoralis,plantae
Poa palustris,plantae
Poa pratensis,plantae
Poa pratensis subsp. agassizensis,plantae
Poa pratensis subsp. alpigena,plantae
Poa pratensis subsp. angustifolia,plantae
Poa pratensis subsp. colpodea,plantae
Poa pratensis subsp. irrigata,plantae
Poa pratensis subsp. pratensis,plantae
Poa saltuensis,plantae
Poa saltuensis subsp. languida,plantae
Poa saltuensis subsp. saltuensis,plantae
Poa secunda,plantae
Poa secunda subsp. juncifolia,plantae
Poa secunda subsp. secunda,plantae
Poa stenantha,plantae
Poa stenantha subsp. stenantha,plantae
Poa trivialis,plantae
Podophyllum peltatum,plantae
Populus angustifolia,plantae
Populus balsamifera,plantae
Populus deltoides,plantae
Populus deltoides subsp. deltoides,plantae
Populus deltoides subsp. monilifera,plantae
Populus grandidentata,plantae
Populus tremuloides,plantae
Populus trichocarpa,plantae
Potentilla anserina,plantae
Potentilla anserina subsp. anserina,plantae
Potentilla anserina subsp. groenlandica,plantae
Potentilla anserina subsp. pacifica,plantae
Potentilla anserina subsp. yukonensis,plantae
Prunella vulgaris,plantae
Prunella vulgaris subsp. lanceolata,plantae
Prunella vulgaris subsp. vulgaris,plantae
Prunus americana,plantae
Prunus emarginata,plantae
Prunus nigra,plantae
Prunus pensylvanica,plantae
Prunus pumila,plantae
Prunus pumila var. besseyi,plantae
Prunus pumila var. depressa,plantae
Prunus pumila var. pumila,plantae
Prunus pumila var. susquehanae,plantae
Prunus serotina,plantae
Prunus serotina var. serotina,plantae
Prunus virginiana,plantae
Prunus virginiana var. demissa,plantae
Prunus virginiana var. virginiana,plantae
Pseudoroegneria spicata,plantae
Pseudotsuga menziesii,plantae
Pseudotsuga menziesii var. glauca,plantae
Pseudotsuga menziesii var. menziesii,plantae
Pycnanthemum virginianum,plantae
Quercus alba,plantae
Quercus bicolor,plantae
Quercus garryana,plantae
Quercus garryana var. garryana,plantae
Quercus macrocarpa,plantae
Quercus muehlenbergii,plantae
Quercus palustris,plantae
Quercus prinoides,plantae
Quercus rubra,plantae
Quercus velutina,plantae
Rhodiola rosea,plantae
Rhododendron groenlandicum,plantae
Rhododendron neoglandulosum,plantae
Ribes americanum,plantae
Ribes aureum,plantae
Ribes aureum var. aureum,plantae
Ribes aureum var. vilosum,plantae
Ribes bracteosum,plantae
Ribes cereum,plantae
Ribes cereum var. cereum,plantae
Ribes cynosbati,plantae
Ribes divaricatum,plantae
Ribes divaricatum var. divaricatum,plantae
Ribes hirtellum,plantae
Ribes hudsonianum,plantae
Ribes hudsonianum var. hudsonianum,plantae
Ribes hudsonianum var. petiolare,plantae
Ribes inerme,plantae
Ribes inerme var. inerme,plantae
Ribes lacustre,plantae
Ribes laxiflorum,plantae
Ribes lobbii,plantae
Ribes oxyacanthoides,plantae
Ribes oxyacanthoides subsp. cognatum,plantae
Ribes oxyacanthoides subsp. irriguum,plantae
Ribes oxyacanthoides subsp. oxyacanthoides,plantae
Ribes oxyacanthoides subsp. setosum,plantae
Ribes sanguineum,plantae
Ribes sanguineum var. sanguineum,plantae
Ribes triste,plantae
Ribes viscosissimum,plantae
Ribes viscosissimum var. viscosissimum,plantae
Rorippa aquatica,plantae
Rosa acicularis,plantae
Rosa acicularis subsp. sayi,plantae
Rosa arkansana,plantae
Rosa blanda,plantae
Rosa blanda,plantae
Rosa carolina,plantae
Rosa carolina subsp. carolina,plantae
Rosa carolina subsp. subserrulata,plantae
Rosa gymnocarpa,plantae
Rosa gymnocarpa var. gymnocarpa,plantae
Rosa nitida,plantae
Rosa nutkana,plantae
Rosa nutkana subsp. macdougalii,plantae
Rosa nutkana subsp. nutkana,plantae
Rosa palustris,plantae
Rosa pisocarpa,plantae
Rosa pisocarpa subsp. pisocarpa,plantae
Rosa setigera,plantae
Rosa virginiana,plantae
Rosa virginiana subsp. minidentata,plantae
Rosa virginiana subsp. virginiana,plantae
Rosa woodsii,plantae
Rosa woodsii subsp. ultramontana,plantae
Rosa woodsii subsp. woodsii,plantae
Rubus paracaulis,plantae
Rubus recurvicaulis,plantae
Rubus setosus,plantae
Rubus allegheniensis,plantae
Rubus arcticus,plantae
Rubus arcticus subsp. acaulis,plantae
Rubus arcticus subsp. stellatus,plantae
Rubus canadensis,plantae
Rubus chamaemorus,plantae
Rubus chloocladus,plantae
Rubus flagellaris,plantae
Rubus idaeus,plantae
Rubus idaeus subsp. Idaeus,plantae
Rubus idaeus subsp. strigosus,plantae
Rubus lasiococcus,plantae
Rubus leucodermis,plantae
Rubus leucodermis var. leucodermis,plantae
Rubus nivalis,plantae
Rubus nutkanus,plantae
Rubus occidentalis,plantae
Rubus odoratus,plantae
Rubus pedatus,plantae
Rubus pensilvanicus,plantae
Rubus spectabilis,plantae
Rubus ursinus,plantae
Rumex occidentalis,plantae
Sagittaria latifolia,plantae
Salix arctica,plantae
Salix arctophila,plantae
Salix barclayi,plantae
Salix exigua,plantae
Salix exigua var. exigua,plantae
Salix exigua var. hindsiana,plantae
Salix lasiandra,plantae
Salix lasiandra var. caudata,plantae
Salix lasiandra var. lasiandra,plantae
Salix planifolia,plantae
Salix pulchra,plantae
Salix reticulata,plantae
Salix richardsonii,plantae
Salix scouleriana,plantae
Salix sitchensis,plantae
Sambucus caerulea,plantae
Sambucus canadensis,plantae
Sambucus racemosa,plantae
Sanicula marilandica,plantae
Schizachyrium scoparium,plantae
Schizachyrium scoparium subsp. scoparium,plantae
Schoenoplectus acutus,plantae
Schoenoplectus acutus var. acutus,plantae
Schoenoplectus acutus var. occidentalis,plantae
Sedum divergens,plantae
Sedum oreganum,plantae
Sedum oreganum var. oreganum,plantae
Sedum oreganum var. tenue,plantae
Sedum spathulifolium,plantae
Sedum spathulifolium var. pruinosum,plantae
Sedum spathulifolium var. spathulifolium,plantae
Shepherdia argentea,plantae
Shepherdia canadensis,plantae
Silphium integrifolium,plantae
Silphium integrifolium var. laeve,plantae
Silphium perfoliatum,plantae
Silphium perfoliatum var. perfoliatum,plantae
Sium suave,plantae
Sorbus americana,plantae
Sorbus decora,plantae
Sorbus scopulina,plantae
Sorbus sitchensis,plantae
Sorbus sitchensis var. grayi,plantae
Sorbus sitchensis var. sitchensis,plantae
Spiraea douglasii,plantae
Spiraea douglasii var. douglasii,plantae
Spiraea douglasii var. menziesii,plantae
Symphoricarpos albus,plantae
Symphoricarpos albus var. albus,plantae
Symphoricarpos albus var. laevigatus,plantae
Taxus brevifolia,plantae
Taxus canadensis,plantae
Thuja occidentalis,plantae
Thuja plicata,plantae
Tilia americana,plantae
Tradescantia virginiana,plantae
Trifolium cyathiferum,plantae
Trifolium depauperatum,plantae
Trifolium depauperatum var. depauperatum,plantae
Trifolium microcephalum,plantae
Trifolium microdon,plantae
Trifolium oliganthum,plantae
Trifolium variegatum,plantae
Trifolium variegatum var. variegatum,plantae
Trifolium willdenovii,plantae
Trifolium wormskioldii,plantae
Triglochin maritima,plantae
Tsuga canadensis,plantae
Tsuga heterophylla,plantae
Tsuga mertensiana,plantae
Typha latifolia,plantae
Ulmus americana,plantae
Ulmus rubra,plantae
Ulmus thomasii,plantae
Urtica dioica,plantae
Urtica dioica,plantae
Vaccinium nubigenum,plantae
Vaccinium angustifolium,plantae
Vaccinium boreale,plantae
Vaccinium cespitosum,plantae
Vaccinium corymbosum,plantae
Vaccinium deliciosum,plantae
Vaccinium macrocarpon,plantae
Vaccinium membranaceum,plantae
Vaccinium microcarpum,plantae
Vaccinium myrtilloides,plantae
Vaccinium myrtillus,plantae
Vaccinium ovalifolium,plantae
Vaccinium ovatum,plantae
Vaccinium oxycoccos,plantae
Vaccinium pallidum,plantae
Vaccinium parvifolium,plantae
Vaccinium scoparium,plantae
Vaccinium stamineum,plantae
Vaccinium uliginosum,plantae
Vaccinium vitis-idaea,plantae
Viburnum acerifolium,plantae
Viburnum cassinoides,plantae
Viburnum dentatum,plantae
Viburnum dentatum var. lucidum,plantae
Viburnum edule,plantae
Viburnum lantana,plantae
Viburnum lentago,plantae
Viburnum opulus,plantae
Viburnum opulus var. americanum,plantae
Viburnum opulus var. opulus,plantae
Viburnum rafinesqueanum,plantae
Vicia americana,plantae
Vicia americana subsp. americana,plantae
Vicia americana subsp. minor,plantae
Vicia nigricans,plantae
Vicia nigricans var. gigantea,plantae
Vitis aestivalis,plantae
Vitis riparia,plantae
Xanthocyparis nootkatensis,plantae
Yucca glauca,plantae
Zizania aquatica,plantae
Zizania aquatica var. aquatica,plantae
Zizania aquatica var. brevis,plantae
Zizania palustris,plantae
Zizania palustris var. interior,plantae
Zizania palustris var. palustris,plantae
Glycyrrhiza lepidota,plantae
