scientificName,kingdom
Helianthus nuttallii subsp. nuttallii,plantae
Helianthus nuttallii subsp. rydbergii,plantae
Helianthus pauciflorus,plantae
Helianthus pauciflorus subsp. pauciflorus,plantae
Helianthus pauciflorus subsp. subrhomboideus,plantae
Helianthus petiolaris,plantae
Helianthus petiolaris subsp. petiolaris,plantae
Helianthus strumosus,plantae
Helianthus tuberosus,plantae
Heracleum maximum,plantae
Heuchera chlorantha,plantae
Holodiscus discolor,plantae
Holodiscus discolor var. discolor,plantae
Honckenya peploides,plantae
Honckenya peploides subsp. diffusa,plantae
Honckenya peploides subsp. major,plantae
Honckenya peploides subsp. robusta,plantae
Hordeum brachyantherum,plantae
Hordeum brachyantherum subsp. brachyantherum,plantae
Hordeum depressum,plantae
Hordeum jubatum,plantae
Hordeum pusillum,plantae
Hosackia gracilis,plantae
Hosackia pinnata,plantae
Humulus lupulus,plantae
Humulus lupulus var. lupuloides,plantae
Humulus lupulus var. neomexicanus,plantae
Juglans cinerea,plantae
Juglans nigra,plantae
Juniperus communis,plantae
Juniperus communis var. charlottensis,plantae
Juniperus communis var. depressa,plantae
Juniperus communis var. megistocarpa,plantae
Juniperus communis var. saxatilis,plantae
Juniperus horizontalis,plantae
Juniperus maritima,plantae
Juniperus scopulorum,plantae
Kalmia microphylla,plantae
Kalmia microphylla var. microphylla,plantae
Kalmia microphylla var. occidentalis,plantae
Lactuca pulchella,plantae
Larix laricina,plantae
Larix lyallii,plantae
Larix occidentalis,plantae
Lathyrus japonicus,plantae
Lathyrus lanszwertii,plantae
Lathyrus lanszwertii var. bijugatus,plantae
Lathyrus littoralis,plantae
Lathyrus nevadensis,plantae
Lathyrus nevadensis var. nevadensis,plantae
Lathyrus palustris,plantae
Lathyrus venosus,plantae
Lathyrus venosus var. intonsus,plantae
Leymus cinereus,plantae
Leymus innovatus,plantae
Leymus innovatus subsp. innovatus,plantae
Leymus innovatus subsp. velutinus,plantae
Leymus mollis,plantae
Leymus mollis subsp. mollis,plantae
Leymus mollis subsp. villosissimus,plantae
Leymus triticoides,plantae
Lilium columbianum,plantae
Linum lewisii,plantae
Linum lewisii var. lepagei,plantae
Linum lewisii var. lewisii,plantae
Linum medium,plantae
Linum medium var. medium,plantae
Linum medium var. texanum,plantae
Linum perenne,plantae
Linum rigidum,plantae
Linum rigidum var. rigidum,plantae
Linum sulcatum,plantae
Linum virginianum,plantae
Lomatium ambiguum,plantae
Lomatium cous,plantae
Lomatium dissectum,plantae
Lomatium foeniculaceum,plantae
Lomatium foeniculaceum subsp. foeniculaceum,plantae
Lomatium geyeri,plantae
Lomatium macrocarpum,plantae
Lomatium nudicaule,plantae
Lomatium triternatum,plantae
Lomatium utriculatum,plantae
Lonicera ciliosa,plantae
Lonicera involucrata,plantae
Lonicera involucrata var. involucrata,plantae
Lonicera utahensis,plantae
Lupinus littoralis,plantae
Lupinus littoralis var. littoralis,plantae
Lupinus nootkatensis,plantae
Lupinus nootkatensis var. fruiticosus,plantae
Lupinus nootkatensis var. nootkatensis,plantae
Lupinus polyphyllus,plantae
Lupinus polyphyllus var. burkei,plantae
Lupinus polyphyllus var. humicola,plantae
Lupinus polyphyllus var. polyphyllus,plantae
Lysichiton americanus,plantae
Magnolia acuminata,plantae
Mahonia aquifolia,plantae
Mahonia nervosa,plantae
Mahonia repens,plantae
Maianthemum dilatatum,plantae
Maianthemum racemosum,plantae
Maianthemum stellatum,plantae
Malus coronaria,plantae
Malus fusca,plantae
Melica bulbosa,plantae
Melica subulata,plantae
Mentha canadensis,plantae
Micromeria douglasii,plantae
Mitchella repens,plantae
Monarda fistulosa,plantae
Monarda fistulosa var. fistulosa,plantae
Monarda fistulosa var. menthifolia,plantae
Monarda fistulosa var. mollis,plantae
Monotropa uniflora,plantae
Morella pensylvanica,plantae
Morus rubra,plantae
Myrica gale,plantae
Nicotiana attenuata,plantae
Nuphar polysepala,plantae
Nymphaea tetragona,plantae
Oemleria cerasiformis,plantae
Oenanthe sarmentosa,plantae
Oplopanax horridus,plantae
Opuntia fragilis,plantae
Opuntia polyacantha,plantae
Opuntia polyacantha var. polyacantha,plantae
Oxybasis rubra,plantae
Oxybasis rubra var. humilis,plantae
Oxybasis rubra var. rubra,plantae
Panax quinquefolius,plantae
Panax trifolius,plantae
Panicum capillare,plantae
Panicum dichotomiflorum,plantae
Panicum dichotomiflorum subsp. dichotomiflorum,plantae
Panicum dichotomiflorum subsp. puritanorum,plantae
Panicum philadelphicum,plantae
Panicum virgatum,plantae
Pascopyrum smithii,plantae
Phalaris arundinacea,plantae
Phalaris arundinacea var. arundinaceae,plantae
Phalaris arundinacea var. picta,plantae
Philadelphus lewisii,plantae
Phleum alpinum,plantae
Physalis heterophylla,plantae
Physalis virginiana,plantae
Physaria arctica,plantae
Physaria douglasii,plantae
Physaria douglasii subsp. douglasii,plantae
Physaria spatulata,plantae
Picea engelmannii,plantae
Picea engelmannii var. engelmannii,plantae
Picea glauca,plantae
Picea mariana,plantae
Picea rubens,plantae
Picea sitchensis,plantae
Pinus albicaulis,plantae
Pinus banksiana,plantae
Pinus contorta,plantae
Pinus contorta var. contorta,plantae
Pinus contorta var. latifolia,plantae
Pinus contorta var. yukonensis,plantae
Pinus flexilis,plantae
Pinus monticola,plantae
Pinus ponderosa,plantae
Pinus ponderosa var. ponderosa,plantae
Pinus ponderosa var. scopulorum,plantae
Pinus resinosa,
Pinus rigida,
Pinus strobus,
Plantago maritima,
Poa ×gaspensis,
Poa abbreviata,
Poa abbreviata subsp. abbreviata,
Poa abbreviata subsp. pattersonii,
Poa alpina,
Poa alpina subsp. alpina,
Poa alpina subsp. vivipara,
Poa alsodes,
Poa arctica,
Poa arctica subsp. arctica,
Poa arctica subsp. caespitans,
Poa arctica subsp. grayana,
Poa arctica subsp. lanata,
Poa arida,
Poa confinis,
Poa cusickii,
Poa cusickii subsp. epillis,
Poa cusickii subsp. pallida,
Poa cusickii subsp. purpurascens,
Poa glauca,
Poa glauca subsp. glauca,
Poa glauca subsp. rupicola,
Poa hartzii,
Poa hartzii subsp. hartzii,
Poa hartzii subsp. vrangelica,
Poa howellii,
Poa leptocoma,
Poa lettermanii,
Poa macrantha,
Poa marcida,
Poa nemoralis,
Poa palustris,
Poa pratensis,
Poa pratensis subsp. agassizensis,
Poa pratensis subsp. alpigena,
Poa pratensis subsp. angustifolia,
Poa pratensis subsp. colpodea,
Poa pratensis subsp. irrigata,
Poa pratensis subsp. pratensis,
Poa saltuensis,
Poa saltuensis subsp. languida,
Poa saltuensis subsp. saltuensis,
Poa secunda,
Poa secunda subsp. juncifolia,
Poa secunda subsp. secunda,
Poa stenantha,
Poa stenantha subsp. stenantha,
Poa trivialis,
Podophyllum peltatum,
Populus angustifolia,
Populus balsamifera,
Populus deltoides,
Populus deltoides subsp. deltoides,
Populus deltoides subsp. monilifera,
Populus grandidentata,
Populus tremuloides,
Populus trichocarpa,
Potentilla anserina,
Potentilla anserina subsp. anserina,
Potentilla anserina subsp. groenlandica,
Potentilla anserina subsp. pacifica,
Potentilla anserina subsp. yukonensis,
Prunella vulgaris,
Prunella vulgaris subsp. lanceolata,
Prunella vulgaris subsp. vulgaris,
Prunus americana,
Prunus emarginata,
Prunus nigra,
Prunus pensylvanica,
Prunus pumila,
Prunus pumila var. besseyi,
Prunus pumila var. depressa,
Prunus pumila var. pumila,
Prunus pumila var. susquehanae,
Prunus serotina,
Prunus serotina var. serotina,
Prunus virginiana,
Prunus virginiana var. demissa,
Prunus virginiana var. virginiana,
Pseudoroegneria spicata,
Pseudotsuga menziesii,
Pseudotsuga menziesii var. glauca,
Pseudotsuga menziesii var. menziesii,
Pycnanthemum virginianum,
Quercus alba,
Quercus bicolor,
Quercus garryana,
Quercus garryana var. garryana,
Quercus macrocarpa,
Quercus muehlenbergii,
Quercus palustris,
Quercus prinoides,
Quercus rubra,
Quercus velutina,
Rhodiola rosea,
Rhododendron groenlandicum,
Rhododendron neoglandulosum,
Ribes americanum,
Ribes aureum,
Ribes aureum var. aureum,
Ribes aureum var. vilosum,
Ribes bracteosum,
Ribes cereum,
Ribes cereum var. cereum,
Ribes cynosbati,
Ribes divaricatum,
Ribes divaricatum var. divaricatum,
Ribes hirtellum,
Ribes hudsonianum,
Ribes hudsonianum var. hudsonianum,
Ribes hudsonianum var. petiolare,
Ribes inerme,
Ribes inerme var. inerme,
Ribes lacustre,
Ribes laxiflorum,
Ribes lobbii,
Ribes oxyacanthoides,
Ribes oxyacanthoides subsp. cognatum,
Ribes oxyacanthoides subsp. irriguum,
Ribes oxyacanthoides subsp. oxyacanthoides,
Ribes oxyacanthoides subsp. setosum,
Ribes sanguineum,
Ribes sanguineum var. sanguineum,
Ribes triste,
Ribes viscosissimum,
Ribes viscosissimum var. viscosissimum,
Rorippa aquatica,
Rosa acicularis,
Rosa acicularis subsp. sayi,
Rosa arkansana,
Rosa blanda,
Rosa blanda,
Rosa carolina,
Rosa carolina subsp. carolina,
Rosa carolina subsp. subserrulata,
Rosa gymnocarpa,
Rosa gymnocarpa var. gymnocarpa,
Rosa nitida,
Rosa nutkana,
Rosa nutkana subsp. macdougalii,
Rosa nutkana subsp. nutkana,
Rosa palustris,
Rosa pisocarpa,
Rosa pisocarpa subsp. pisocarpa,
Rosa setigera,
Rosa virginiana,
Rosa virginiana subsp. minidentata,
Rosa virginiana subsp. virginiana,
Rosa woodsii,
Rosa woodsii subsp. ultramontana,
Rosa woodsii subsp. woodsii,
Rubus ×paracaulis,
Rubus ×recurvicaulis,
Rubus ×setosus,
Rubus allegheniensis,
Rubus arcticus,
Rubus arcticus subsp. acaulis,
Rubus arcticus subsp. stellatus,
Rubus canadensis,
Rubus chamaemorus,
Rubus chloocladus,
Rubus flagellaris,
Rubus idaeus,
Rubus idaeus subsp. Idaeus,
Rubus idaeus subsp. strigosus,
Rubus lasiococcus,
Rubus leucodermis,
Rubus leucodermis var. leucodermis,
Rubus nivalis,
Rubus nutkanus,
Rubus occidentalis,
Rubus odoratus,
Rubus pedatus,
Rubus pensilvanicus,
Rubus spectabilis,
Rubus ursinus,
Rumex occidentalis,
Sagittaria latifolia,
Salix arctica,
Salix arctophila,
Salix barclayi,
Salix exigua,
Salix exigua var. exigua,
Salix exigua var. hindsiana,
Salix lasiandra,
Salix lasiandra var. caudata,
Salix lasiandra var. lasiandra,
Salix planifolia,
Salix pulchra,
Salix reticulata,
Salix richardsonii,
Salix scouleriana,
Salix sitchensis,
Sambucus caerulea,
Sambucus canadensis,
Sambucus racemosa,
Sanicula marilandica,
Schizachyrium scoparium,
Schizachyrium scoparium subsp. scoparium,
Schoenoplectus acutus,
Schoenoplectus acutus var. acutus,
Schoenoplectus acutus var. occidentalis,
Sedum divergens,
Sedum oreganum,
Sedum oreganum var. oreganum,
Sedum oreganum var. tenue,
Sedum spathulifolium,
Sedum spathulifolium var. pruinosum,
Sedum spathulifolium var. spathulifolium,
Shepherdia argentea,
Shepherdia canadensis,
Silphium integrifolium,
Silphium integrifolium var. laeve,
Silphium perfoliatum,
Silphium perfoliatum var. perfoliatum,
Sium suave,
Sorbus americana,
Sorbus decora,
Sorbus scopulina,
Sorbus sitchensis,
Sorbus sitchensis var. grayi,
Sorbus sitchensis var. sitchensis,
Spiraea douglasii,
Spiraea douglasii var. douglasii,
Spiraea douglasii var. menziesii,
Symphoricarpos albus,
Symphoricarpos albus var. albus,
Symphoricarpos albus var. laevigatus,
Taxus brevifolia,
Taxus canadensis,
Thuja occidentalis,
Thuja plicata,
Tilia americana,
Tradescantia virginiana,
Trifolium cyathiferum,
Trifolium depauperatum,
Trifolium depauperatum var. depauperatum,
Trifolium microcephalum,
Trifolium microdon,
Trifolium oliganthum,
Trifolium variegatum,
Trifolium variegatum var. variegatum,
Trifolium willdenovii,
Trifolium wormskioldii,
Triglochin maritima,
Tsuga canadensis,
Tsuga heterophylla,
Tsuga mertensiana,
Typha latifolia,
Ulmus americana,
Ulmus rubra,
Ulmus thomasii,
Urtica dioica,
Urtica dioica,
Vaccinium ×nubigenum,
Vaccinium angustifolium,
Vaccinium boreale,
Vaccinium cespitosum,
Vaccinium corymbosum,
Vaccinium deliciosum,
Vaccinium macrocarpon,
Vaccinium membranaceum,
Vaccinium microcarpum,
Vaccinium myrtilloides,
Vaccinium myrtillus,
Vaccinium ovalifolium,
Vaccinium ovatum,
Vaccinium oxycoccos,
Vaccinium pallidum,
Vaccinium parvifolium,
Vaccinium scoparium,
Vaccinium stamineum,
Vaccinium uliginosum,
Vaccinium vitis-idaea,
Viburnum acerifolium,
Viburnum cassinoides,
Viburnum dentatum,
Viburnum dentatum var. lucidum,
Viburnum edule,
Viburnum lantana,
Viburnum lentago,
Viburnum opulus,
Viburnum opulus var. americanum,
Viburnum opulus var. opulus,
Viburnum rafinesqueanum,
Vicia americana,
Vicia americana subsp. americana,
Vicia americana subsp. minor,
Vicia nigricans,
Vicia nigricans var. gigantea,
Vitis aestivalis,
Vitis riparia,
Xanthocyparis nootkatensis,
Yucca glauca,
Zizania aquatica,
Zizania aquatica var. aquatica,
Zizania aquatica var. brevis,
Zizania palustris,
Zizania palustris var. interior,
Zizania palustris var. palustris,
Glycyrrhiza lepidota,
